"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Mar 2014 - Mar 2014"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",89,223,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,75991,3960
"ANACONDA STATE 55-2",283138,08," 1H",0,0,63889,14934
"ANACONDA STATE 55-2",45010,08," ",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",6476,13584,0,0
"APC FEE 1-40",40729,08," ",19502,29580,0,0
"APC FEE 1-50 UNIT",41231,08," ",26494,51170,0,0
"APC FEE 6",43431,08," ",1850,2327,0,0
"ARMSTRONG 14",45537,08," ",387,2827,0,0
"ARMSTRONG 16",45227,08," ",1008,6511,0,0
"ASHLOCK 1-34",41954,08," ",131,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,2638,426
"ATLANTA 73",42256,08," ",0,0,0,0
"AUTOBAHN 34-117",44771,08," ",74945,78944,0,0
"AYERS UNIT ""24""",41978,08," ",2333,3051,0,0
"BAGWELL C27-1",42447,08," ",935,1979,0,0
"BARBEE 72-1",268076,08," 1H",0,0,38776,1810
"BARNES, D. E. ESTATE",38700,08," ",697,692,0,0
"BARRACUDA 49",283806,08," 1",0,0,3218,367
"BARRACUDA 49",44118,08," ",0,0,0,0
BARSTOW,39273,08," ",0,15,0,0
"BARTSOW UNIT 33-35",45119,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",4957,13973,0,0
"BATES 1-77 LOV UNIT",44788,08," ",12111,33709,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,11563,1478
"BENTON 3-12",44948,08," ",4212,11521,0,0
"BETTS 54-4-26 RVS",44643,08," ",5842,17800,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,16918,203
"BIG SILVER 34-160",43631,08," ",11960,20437,0,0
"BIG VALLEY 6-20",39164,08," ",457,365,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BLACK POWDER 1-27",42881,08," ",11836,26256,0,0
"BLACK STONE 34-216",42043,08," ",934,4659,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",1919,2364,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",8104,11504,0,0
"BLACKTIP 1-42",41088,08," ",939,1145,0,0
"BLACKTIP 1-43",40406,08," ",1539,2428,0,0
