"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Jun 2018 - Jun 2018"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"8RUNSON TRUST 9",47014,08," ",34749,59441,0,0
"9014 JV-P PITZER",41392,08," ",31,0,0,0
"A HERRING 94-93 UNIT",49527,08," ",37195,28029,0,0
"A.G. HILL",50673,08," ",1,0,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,21611,770
"ABERNATHY 57-T1-14",45618,08," ",2399,13980,0,0
ACE,283213,08," L 06H",0,0,90281,10210
"ADMIRAL 4-48 47",284860,08," 1H",0,0,2525,251
"ADMIRAL 4-48 47",48321,08," ",0,0,0,0
ADOBE,48634,08," ",4438,8541,0,0
"ADOBE A",50110,08," ",19361,27890,0,0
"ADOBE B",50111,08," ",18831,25272,0,0
ADRIANNA,47205,08," ",789,5426,0,0
"AFFIRMED 6",49761,08," ",8867,10056,0,0
ALAMEDA,48683,08," ",0,0,0,0
"ALAMEDA STATE UNIT 54-8-1",49518,08," ",78715,413650,0,0
"ALCATRAZ STATE 34-141 UNIT",49585,08," ",31871,46915,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,15273,2095
"ALLAR STATE UNIT 2877",286385,08," 1H",0,0,69460,9741
"ALLAR STATE UNIT 2877",49403,08," ",0,0,0,0
ALLEN,47211,08," ",2740,6764,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",287,1092,0,0
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",4692,12640,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,12303,1599
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,9269,2543
"AMERICAN PHAROAH",47777,08," ",56,11494,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,12202,1237
"ANACONDA STATE 55-2",283093,08," 7H",0,0,9703,1212
"ANACONDA STATE 55-2",283095,08," 2H",0,0,14378,2838
"ANACONDA STATE 55-2",283136,08," 3H",0,0,12970,1197
"ANACONDA STATE 55-2",283138,08," 1H",0,0,8799,1148
"ANACONDA STATE 55-2",45010,08," ",5084,25576,0,0
"ANTIETAM 54-4-27",283185,08," 1H",0,0,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 2-21",48477,08," ",0,0,0,0
"APC 2-28",49283,08," ",0,0,0,0
"APC 29-29",47185,08," ",0,0,0,0
"APC 34-179",48994,08," ",0,0,0,0
"APC 55-1-37",48989,08," ",0,0,0,0
"APC 56-2-17",49306,08," ",0,0,0,0
"APC 56-3-26",49511,08," ",0,0,0,0
"APC 57-1-33",49745,08," ",0,0,0,0
"APC 76-10",48428,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",883,1822,0,0
"APC FEE 1-40",40729,08," ",4052,8728,0,0
"APC FEE 1-50 UNIT",41231,08," ",10746,27017,0,0
"APC FEE 6",43431,08," ",1197,2166,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APOLLO 7",47326,08," ",17059,46121,0,0
"ARCHES 55-1-17 UNIT",284201,08," 1H",0,0,107492,21606
"ARGENTINE 71",48782,08," ",6918,25254,0,0
"ARMSTRONG 14",45537,08," ",270,2883,0,0
"ARMSTRONG 16",45227,08," ",266,3567,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",3357,82558,0,0
"ARPENT 21602 25",284954,08," 2H",0,0,59092,14625
"ARPENT 21602 25",285178,08," 1H",0,0,116131,24352
"ARROW 56-2-7",283526,08," 1H",0,0,0,0
"ASH 55-1-32 UNIT",282757,08," 1H",0,0,153942,32316
"ASHLOCK 1-34",284402,08," 5H",0,0,9555,1528
"ASHLOCK 1-34",41954,08," ",7239,25144,0,0
"ASPEN 55-1-30 UNIT",284432,08," 1HR",0,0,0,0
"ASSAULT 126",48392,08," ",6282,15260,0,0
